Rank,Country,% of GDP
1,Ukraine,34.48
2,Israel,8.78
3,Algeria,7.97
4,Saudi Arabia,7.3
5,Russia,7.05
6,Myanmar,6.79
7,Oman,5.59
8,Armenia,5.48
9,Azerbaijan,4.99
10,Kuwait,4.84
11,Jordan,4.8
12,Burkina Faso,4.68
13,Mali,4.2
14,Poland,4.15
15,Burundi,3.8
16,Brunei,3.58
17,Morocco,3.52
18,United States,3.42
19,Estonia,3.37
20,Colombia,3.36
21,Latvia,3.26
22,Greece,3.13
23,Lithuania,3.12
24,Chad,2.98
25,Kyrgyzstan,2.97
